234;PRODUTOR AGROPECUARIO
153;TECNICO EM AGRONOMIA E AGRIMENSURA
531;MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS
207;JARDINEIRO
126;ANALISTA DE SISTEMAS
396;SECURITARIO
261;ARQUEOLOGO
180;ENCANADORSOLDADORCHAPEADORCALDEIREIROMONTADOR DE ESTRUTURA METALIC
